Species;Effectif;Pourcentage
Faidherbia albida;3872;41,82
Balanites aegyptiaca;1017;10,99
Anogeissus leiocarpus;810;8,75
Adansonia digitata;573;6,19
Acacia nilotica;357;3,86
Azadirachta indica;272;2,94
Diospiros mespiliformis;272;2,94
Borassus aethiopium;248;2,68
Piliostigma reticulatum;225;2,43
Bauhinia rufescens;215;2,32
Ziziphus mauritiana;215;2,32
Sclerocarya birrea;153;1,65
Tamarindus indica;152;1,64
Celtis integrifolia;148;1,6
Acacia seyal;107;1,16
Prosopis juliflora;107;1,16
Acacia raddiana;77;0,83
Cordyla pinnata;57;0,62
Mitragyna inermis;50;0,54
Gardenia ternifolia;40;0,43
Anacardium occidentale;33;0,36
Combretum glutinosum;31;0,33
Guiera senegalensis;27;0,29
Eucalyptus sp;24;0,26
Mangifera indica;14;0,15
Acacia macrostachya;12;0,13
Acacia sieberiana;11;0,12
Combretum micranthum;11;0,12
Jatropha curcas;10;0,11
Pterocarpus erinaceus;10;0,11
Securidaca longipedunculata;9;0,1
Ziziphus micronata;8;0,09
"Dichrostachys glomerata
";7;0,08
Ceiba pentandra;6;0,06
Ficus platyphylla;6;0,06
Parkinsonia aculeata;6;0,06
Ficus vogelii;5;0,05
Parkia biglobosa;5;0,05
Aphania senegalensis;4;0,04
Detarium senegalensis;4;0,04
Ficus gnaphalocarpa;4;0,04
Hyphaene thebaica;4;0,04
Morus mesozygia;4;0,04
Prosopis africana;4;0,04
Acacia senegal;3;0,03
Citrus limon;3;0,03
Commiphora africana;3;0,03
Ficus thonningii;3;0,03
"Adenium obesum
";2;0,02
Elaeis guineensis;2;0,02
Sterculia setigera;2;0,02
Stereospermum kunthianum;2;0,02
"Terminalia macroptera
";2;0,02
Cassia siamea;1;0,01
Cassia sieberiana;1;0,01
"Detarium microcarpum
";1;0,01
Dichrostachys cinerea;1;0,01
"Entada africana
";1;0,01
Erythrina senegalensis;1;0,01
"Ficus iteophylla
";1;0,01
Lawsonia inermis;1;0,01
Moringa oleifera;1;0,01
Neocarya macrophylla;1;0,01
