"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
1;0,577563073850653;"F. albida";"Non";"bioclim";"Avec blocs"
2;0,598770118194392;"F. albida";"Non";"bioclim";"Avec blocs"
3;0,654364161160278;"F. albida";"Non";"bioclim";"Avec blocs"
4;0,656456395099652;"F. albida";"Non";"bioclim";"Avec blocs"
5;0,67890522968027;"F. albida";"Non";"bioclim";"Avec blocs"
1;0,647454551439787;"F. albida";"Oui";"bioclim";"Avec blocs"
2;0,676431456683013;"F. albida";"Oui";"bioclim";"Avec blocs"
3;0,651263686457861;"F. albida";"Oui";"bioclim";"Avec blocs"
4;0,649154369414276;"F. albida";"Oui";"bioclim";"Avec blocs"
5;0,657069379726222;"F. albida";"Oui";"bioclim";"Avec blocs"
1;0,678755555217049;"B. aegyptiaca";"Non";"bioclim";"Avec blocs"
2;0,623984245439469;"B. aegyptiaca";"Non";"bioclim";"Avec blocs"
3;0,448185907538744;"B. aegyptiaca";"Non";"bioclim";"Avec blocs"
4;0,625898015108873;"B. aegyptiaca";"Non";"bioclim";"Avec blocs"
5;0,506036831060287;"B. aegyptiaca";"Non";"bioclim";"Avec blocs"
1;0,699356032765784;"B. aegyptiaca";"Oui";"bioclim";"Avec blocs"
2;0,639968128109453;"B. aegyptiaca";"Oui";"bioclim";"Avec blocs"
3;0,468132716049383;"B. aegyptiaca";"Oui";"bioclim";"Avec blocs"
4;0,562522218930529;"B. aegyptiaca";"Oui";"bioclim";"Avec blocs"
5;0,573617475490529;"B. aegyptiaca";"Oui";"bioclim";"Avec blocs"
1;0,529957479706223;"A. leiocarpus";"Non";"bioclim";"Avec blocs"
2;0,597122092848873;"A. leiocarpus";"Non";"bioclim";"Avec blocs"
3;0,752013449899126;"A. leiocarpus";"Non";"bioclim";"Avec blocs"
4;0,434853784963082;"A. leiocarpus";"Non";"bioclim";"Avec blocs"
5;0,680901224489796;"A. leiocarpus";"Non";"bioclim";"Avec blocs"
1;0,605527638190955;"A. leiocarpus";"Oui";"bioclim";"Avec blocs"
2;0,633741549240856;"A. leiocarpus";"Oui";"bioclim";"Avec blocs"
3;0,546628110289173;"A. leiocarpus";"Oui";"bioclim";"Avec blocs"
4;0,4730427602277;"A. leiocarpus";"Oui";"bioclim";"Avec blocs"
5;0,557108571428571;"A. leiocarpus";"Oui";"bioclim";"Avec blocs"
1;0,764655806501274;"A. digitata";"Non";"bioclim";"Avec blocs"
2;0,65072665774606;"A. digitata";"Non";"bioclim";"Avec blocs"
3;0,688238492565644;"A. digitata";"Non";"bioclim";"Avec blocs"
4;0,75977824795796;"A. digitata";"Non";"bioclim";"Avec blocs"
5;0,576092145347194;"A. digitata";"Non";"bioclim";"Avec blocs"
1;0,793860794498834;"A. digitata";"Oui";"bioclim";"Avec blocs"
2;0,688949598572703;"A. digitata";"Oui";"bioclim";"Avec blocs"
3;0,575667806864916;"A. digitata";"Oui";"bioclim";"Avec blocs"
4;0,636976462389422;"A. digitata";"Oui";"bioclim";"Avec blocs"
5;0,680472765721345;"A. digitata";"Oui";"bioclim";"Avec blocs"
1;0,678022671457158;"A. nilotica";"Non";"bioclim";"Avec blocs"
2;0,554214296227248;"A. nilotica";"Non";"bioclim";"Avec blocs"
3;0,559001879040734;"A. nilotica";"Non";"bioclim";"Avec blocs"
4;0,567296965640339;"A. nilotica";"Non";"bioclim";"Avec blocs"
5;0,385343769183548;"A. nilotica";"Non";"bioclim";"Avec blocs"
1;0,595247407676915;"A. nilotica";"Oui";"bioclim";"Avec blocs"
2;0,595351518422215;"A. nilotica";"Oui";"bioclim";"Avec blocs"
3;0,501242077773177;"A. nilotica";"Oui";"bioclim";"Avec blocs"
4;0,570665997322624;"A. nilotica";"Oui";"bioclim";"Avec blocs"
5;0,445861469204011;"A. nilotica";"Oui";"bioclim";"Avec blocs"
1;0,509026969390481;"F. albida";"Non";"bioclim";"Sans blocs"
2;0,521377133946551;"F. albida";"Non";"bioclim";"Sans blocs"
3;0,517773904269348;"F. albida";"Non";"bioclim";"Sans blocs"
4;0,553261131747793;"F. albida";"Non";"bioclim";"Sans blocs"
5;0,511957176595334;"F. albida";"Non";"bioclim";"Sans blocs"
1;0,553077649708026;"F. albida";"Oui";"bioclim";"Sans blocs"
2;0,559764853320323;"F. albida";"Oui";"bioclim";"Sans blocs"
3;0,557862923231606;"F. albida";"Oui";"bioclim";"Sans blocs"
4;0,578104346567611;"F. albida";"Oui";"bioclim";"Sans blocs"
5;0,556286750530172;"F. albida";"Oui";"bioclim";"Sans blocs"
1;0,46943434285587;"B. aegyptiaca";"Non";"bioclim";"Sans blocs"
2;0,485475467541626;"B. aegyptiaca";"Non";"bioclim";"Sans blocs"
3;0,48793965049788;"B. aegyptiaca";"Non";"bioclim";"Sans blocs"
4;0,450560914961953;"B. aegyptiaca";"Non";"bioclim";"Sans blocs"
5;0,466943055760128;"B. aegyptiaca";"Non";"bioclim";"Sans blocs"
1;0,548237869344304;"B. aegyptiaca";"Oui";"bioclim";"Sans blocs"
2;0,535509269242201;"B. aegyptiaca";"Oui";"bioclim";"Sans blocs"
3;0,511515022675737;"B. aegyptiaca";"Oui";"bioclim";"Sans blocs"
4;0,535227704421702;"B. aegyptiaca";"Oui";"bioclim";"Sans blocs"
5;0,543159442138795;"B. aegyptiaca";"Oui";"bioclim";"Sans blocs"
1;0,51965971882213;"A. leiocarpus";"Non";"bioclim";"Sans blocs"
2;0,52915989059728;"A. leiocarpus";"Non";"bioclim";"Sans blocs"
3;0,517876127858991;"A. leiocarpus";"Non";"bioclim";"Sans blocs"
4;0,494803721352394;"A. leiocarpus";"Non";"bioclim";"Sans blocs"
5;0,566009667599774;"A. leiocarpus";"Non";"bioclim";"Sans blocs"
1;0,54211547877177;"A. leiocarpus";"Oui";"bioclim";"Sans blocs"
2;0,535116055588409;"A. leiocarpus";"Oui";"bioclim";"Sans blocs"
3;0,554987060222424;"A. leiocarpus";"Oui";"bioclim";"Sans blocs"
4;0,506693896074427;"A. leiocarpus";"Oui";"bioclim";"Sans blocs"
5;0,55417947776605;"A. leiocarpus";"Oui";"bioclim";"Sans blocs"
1;0,619610537287975;"A. digitata";"Non";"bioclim";"Sans blocs"
